,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
1206,57.46,1.54,56.51,Masculino,Castanho,Ruivo,Contusão,Casa,Negra,Classe Baixa,Desconhecido
1623,21.8,1.84,84.85,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
189,20.6,1.59,51.19,Masculino,Verde,Preto,Estrangulamento,Escola,Parda,Classe Média,Desconhecido
207,20.09,1.67,52.44,Masculino,Preto,Preto,Estrangulamento,Escola,Branca,Classe Média,Desconhecido
268,42.99,1.55,45.16,Masculino,Azul,Ruivo,Esfaqueamento,Escola,Amarela,Classe Média,Desconhecido
1323,21.93,1.55,66.32,Masculino,Azul,Castanho,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
614,23.38,1.61,67.29,Feminino,Preto,Loiro,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
1639,27.56,1.7,80.36,Feminino,Azul,Castanho,Estrangulamento,Escola,Negra,Classe Alta,Roberto Chimarildo Tomáz
1518,42.55,1.78,54.28,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1819,28.9,1.87,80.14,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Negra,Classe Média,Roberto Chimarildo Tomáz
126,41.17,1.71,79.62,Feminino,Azul,Loiro,Envenenamento,Escola,Amarela,Classe Média,Desconhecido
726,27.69,1.64,70.22,Feminino,Preto,Loiro,Contusão,Escola,Amarela,Classe Alta,Desconhecido
642,12.52,1.56,71.35,Feminino,Azul,Loiro,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
309,22.59,1.71,65.93,Feminino,Azul,Preto,Envenenamento,Rua,Amarela,Classe Alta,Desconhecido
1127,25.75,1.47,78.25,Masculino,Preto,Castanho,Esfaqueamento,Trabalho,Amarela,Classe Baixa,Desconhecido
654,52.79,1.66,30.99,Masculino,Castanho,Preto,Estrangulamento,Casa,Amarela,Classe Média,Desconhecido
1282,13.52,1.61,30.63,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
1451,40.09,1.77,78.53,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
208,17.83,1.72,80.01,Feminino,Preto,Loiro,Estrangulamento,Rua,Parda,Classe Média,Desconhecido
854,42.71,1.77,76.39,Masculino,Castanho,Preto,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido
1034,49.59,1.8,76.56,Masculino,Azul,Castanho,Esfaqueamento,Trabalho,Parda,Classe Alta,Desconhecido
1299,20.71,1.5,40.93,Masculino,Azul,Ruivo,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
545,27.36,1.42,71.95,Masculino,Castanho,Castanho,Contusão,Trabalho,Amarela,Classe Baixa,Desconhecido
173,31.09,1.87,63.97,Masculino,Preto,Preto,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
67,18.02,1.6,48.75,Masculino,Verde,Preto,Estrangulamento,Rua,Branca,Classe Baixa,Desconhecido
195,41.16,1.8,33.39,Masculino,Verde,Ruivo,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
804,37.5,1.62,34.48,Masculino,Verde,Ruivo,Esfaqueamento,Casa,Negra,Classe Baixa,Desconhecido
638,16.06,1.84,70.17,Masculino,Castanho,Castanho,Contusão,Casa,Parda,Classe Alta,Desconhecido
1699,23.81,1.49,83.58,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1569,38.9,1.76,58.2,Masculino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
295,27.69,1.6,62.05,Masculino,Verde,Loiro,Envenenamento,Rua,Amarela,Classe Baixa,Desconhecido
774,53.35,1.89,89.18,Feminino,Verde,Preto,Contusão,Trabalho,Negra,Classe Média,Desconhecido
1803,28.62,1.88,78.5,Feminino,Preto,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1166,57.29,1.64,37.08,Feminino,Castanho,Castanho,Estrangulamento,Trabalho,Parda,Classe Média,Desconhecido
1337,31.52,1.42,33.43,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
867,54.76,1.66,73.24,Masculino,Preto,Castanho,Envenenamento,Rua,Negra,Classe Alta,Desconhecido
737,55.39,1.51,49.02,Masculino,Azul,Preto,Estrangulamento,Escola,Amarela,Classe Alta,Desconhecido
710,19.97,1.77,74.93,Masculino,Castanho,Loiro,Estrangulamento,Escola,Branca,Classe Média,Desconhecido
1771,19.72,1.83,67.59,Feminino,Verde,Preto,Estrangulamento,Rua,Branca,Classe Alta,Roberto Chimarildo Tomáz
1121,54.15,1.83,34.4,Masculino,Preto,Preto,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido
559,51.23,1.73,32.24,Feminino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
1056,48.83,1.59,83.67,Feminino,Azul,Preto,Contusão,Trabalho,Amarela,Classe Baixa,Desconhecido
95,41.47,1.68,83.29,Masculino,Verde,Loiro,Contusão,Casa,Amarela,Classe Baixa,Desconhecido
1708,28.73,1.52,73.55,Feminino,Verde,Preto,Contusão,Trabalho,Parda,Classe Alta,Roberto Chimarildo Tomáz
1230,51.54,1.88,44.51,Masculino,Azul,Castanho,Esfaqueamento,Rua,Amarela,Classe Alta,ElBigodon Camacho
1678,30.22,1.89,75.71,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
772,15.93,1.52,44.49,Feminino,Preto,Ruivo,Contusão,Escola,Parda,Classe Média,Desconhecido
283,37.64,1.69,64.85,Feminino,Verde,Preto,Contusão,Escola,Branca,Classe Alta,Desconhecido
373,19.13,1.42,32.25,Feminino,Azul,Preto,Estrangulamento,Rua,Negra,Classe Baixa,Desconhecido
107,33.14,1.45,69.94,Masculino,Azul,Castanho,Envenenamento,Escola,Parda,Classe Alta,Desconhecido
1023,51.96,1.85,31.07,Masculino,Castanho,Loiro,Esfaqueamento,Trabalho,Branca,Classe Alta,Desconhecido
297,37.85,1.6,58.49,Feminino,Castanho,Castanho,Estrangulamento,Rua,Negra,Classe Alta,Desconhecido
926,23.5,1.69,89.12,Masculino,Azul,Preto,Estrangulamento,Escola,Branca,Classe Média,Desconhecido
574,57.94,1.43,50.63,Feminino,Azul,Preto,Contusão,Rua,Branca,Classe Baixa,Desconhecido
1690,21.28,1.45,74.26,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
442,37.51,1.68,37.84,Masculino,Preto,Ruivo,Estrangulamento,Casa,Negra,Classe Média,Desconhecido
553,47.67,1.51,30.65,Masculino,Azul,Ruivo,Estrangulamento,Rua,Amarela,Classe Alta,Desconhecido
1001,48.93,1.58,37.91,Masculino,Castanho,Castanho,Estrangulamento,Casa,Negra,Classe Baixa,Desconhecido
249,20.07,1.71,58.9,Masculino,Castanho,Castanho,Contusão,Casa,Branca,Classe Média,Desconhecido
704,27.93,1.44,86.68,Feminino,Verde,Loiro,Esfaqueamento,Casa,Amarela,Classe Média,Desconhecido
1090,36.88,1.49,52.38,Masculino,Azul,Castanho,Esfaqueamento,Escola,Negra,Classe Média,Desconhecido
1796,19.94,1.88,85.9,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1002,48.65,1.66,40.56,Feminino,Preto,Loiro,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido
513,18.73,1.52,62.01,Feminino,Verde,Ruivo,Esfaqueamento,Escola,Parda,Classe Alta,Desconhecido
817,22.91,1.52,79.11,Feminino,Azul,Castanho,Envenenamento,Trabalho,Branca,Classe Média,Desconhecido
21,16.33,1.53,38.8,Feminino,Castanho,Castanho,Esfaqueamento,Casa,Parda,Classe Média,Desconhecido
476,26.12,1.64,73.26,Feminino,Azul,Preto,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
777,12.8,1.44,83.24,Masculino,Castanho,Preto,Estrangulamento,Casa,Parda,Classe Média,Desconhecido
1372,51.22,1.52,44.94,Masculino,Azul,Loiro,Esfaqueamento,Escola,Branca,Classe Média,ElBigodon Camacho
663,54.34,1.47,36.51,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
1544,37.56,1.6,55.08,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1465,37.35,1.69,62.41,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
568,24.69,1.68,74.23,Masculino,Azul,Castanho,Esfaqueamento,Rua,Amarela,Classe Média,Desconhecido
1174,52.62,1.51,87.86,Masculino,Verde,Preto,Estrangulamento,Escola,Amarela,Classe Média,Desconhecido
989,28.53,1.71,85.95,Feminino,Azul,Castanho,Contusão,Casa,Amarela,Classe Baixa,Desconhecido
17,26.33,1.85,61.88,Feminino,Verde,Ruivo,Esfaqueamento,Escola,Parda,Classe Média,Desconhecido
45,39.86,1.64,75.03,Feminino,Castanho,Preto,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
651,34.83,1.63,54.99,Feminino,Azul,Preto,Envenenamento,Rua,Negra,Classe Alta,Desconhecido
1497,33.43,1.63,63.39,Feminino,Castanho,Preto,Envenenamento,Escola,Amarela,Classe Baixa,Coringon de le pinheirinho Silva
215,21.23,1.58,48.5,Feminino,Verde,Preto,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
54,43.26,1.66,70.09,Feminino,Castanho,Castanho,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
1743,28.39,1.7,84.44,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
489,31.73,1.72,60.23,Feminino,Castanho,Loiro,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
1585,33.23,1.61,63.16,Feminino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
752,22.59,1.46,70.34,Masculino,Preto,Loiro,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
648,12.28,1.8,70.91,Masculino,Azul,Ruivo,Envenenamento,Escola,Parda,Classe Média,Desconhecido
1395,22.35,1.45,64.15,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
1652,18.2,1.81,83.02,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
251,40.33,1.86,64.4,Masculino,Azul,Castanho,Envenenamento,Casa,Negra,Classe Média,Desconhecido
1612,36.63,1.63,63.12,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
213,30.33,1.42,85.14,Masculino,Verde,Preto,Envenenamento,Escola,Amarela,Classe Baixa,Desconhecido
753,51.9,1.66,47.43,Masculino,Castanho,Loiro,Estrangulamento,Casa,Amarela,Classe Média,Desconhecido
523,16.78,1.64,36.65,Masculino,Castanho,Loiro,Contusão,Escola,Negra,Classe Média,Desconhecido
1730,25.69,1.77,80.57,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1176,34.33,1.87,74.25,Feminino,Verde,Preto,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
1212,23.64,1.52,36.94,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1707,21.46,1.8,80.87,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
1556,38.56,1.82,55.97,Masculino,Azul,Ruivo,Contusão,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1058,26.37,1.82,73.29,Masculino,Preto,Preto,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
1188,22.32,1.63,75.98,Feminino,Preto,Preto,Contusão,Trabalho,Negra,Classe Média,Desconhecido
820,57.85,1.87,80.3,Feminino,Azul,Preto,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
88,44.41,1.63,32.46,Masculino,Verde,Loiro,Estrangulamento,Casa,Branca,Classe Alta,Desconhecido
1340,12.18,1.43,46.74,Masculino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
175,44.41,1.76,68.46,Feminino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Média,Desconhecido
1229,22.12,1.44,40.31,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1800,21.45,1.88,85.02,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
1032,30.99,1.52,54.9,Masculino,Preto,Castanho,Contusão,Escola,Negra,Classe Baixa,Desconhecido
348,38.66,1.41,59.62,Feminino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
1814,26.02,1.7,75.88,Feminino,Azul,Ruivo,Envenenamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
419,25.52,1.62,54.84,Masculino,Preto,Ruivo,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
1597,38.39,1.87,61.27,Masculino,Castanho,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
1501,16.75,1.79,86.9,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1738,31.52,1.79,80.51,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
808,26.98,1.71,37.75,Masculino,Verde,Ruivo,Contusão,Trabalho,Amarela,Classe Alta,Desconhecido
995,46.05,1.82,31.92,Feminino,Verde,Loiro,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido
409,24.77,1.45,43.75,Feminino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Alta,Desconhecido
1506,33.74,1.68,64.28,Masculino,Verde,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
1804,10.94,1.89,76.94,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
145,42.02,1.51,50.87,Feminino,Preto,Preto,Contusão,Rua,Negra,Classe Média,Desconhecido
1064,34.43,1.4,59.46,Masculino,Verde,Ruivo,Envenenamento,Trabalho,Parda,Classe Média,Desconhecido
121,21.11,1.64,51.15,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Branca,Classe Média,Desconhecido
662,15.62,1.82,54.19,Feminino,Castanho,Ruivo,Contusão,Rua,Branca,Classe Média,Desconhecido
1504,37.25,1.77,57.98,Masculino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
1146,29.51,1.45,65.93,Feminino,Azul,Preto,Esfaqueamento,Escola,Negra,Classe Média,Desconhecido
18,37.24,1.72,76.71,Masculino,Azul,Castanho,Contusão,Trabalho,Parda,Classe Alta,Desconhecido
508,26.9,1.64,66.59,Masculino,Azul,Preto,Estrangulamento,Rua,Negra,Classe Média,Desconhecido
1441,34.71,1.67,59.77,Masculino,Castanho,Preto,Contusão,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1529,24.7,1.75,62.54,Masculino,Castanho,Preto,Estrangulamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1041,16.8,1.83,79.31,Masculino,Castanho,Preto,Contusão,Casa,Parda,Classe Baixa,Desconhecido
967,48.22,1.68,53.25,Masculino,Verde,Preto,Envenenamento,Escola,Branca,Classe Média,Desconhecido
143,36.77,1.51,72.63,Masculino,Preto,Preto,Estrangulamento,Escola,Negra,Classe Média,Desconhecido
112,32.4,1.87,67.52,Masculino,Preto,Castanho,Envenenamento,Escola,Negra,Classe Média,Desconhecido
53,37.85,1.83,82.77,Masculino,Castanho,Castanho,Esfaqueamento,Trabalho,Parda,Classe Média,Desconhecido
1367,13.58,1.53,45.99,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1468,37.71,1.66,53.36,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1315,14.71,1.6,33.39,Masculino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
1553,36.62,1.74,53.12,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
379,26.86,1.72,79.71,Masculino,Castanho,Castanho,Contusão,Trabalho,Branca,Classe Média,Desconhecido
1156,38.75,1.84,52.81,Masculino,Azul,Preto,Contusão,Casa,Parda,Classe Baixa,Desconhecido
657,39.18,1.75,37.78,Feminino,Verde,Preto,Estrangulamento,Trabalho,Branca,Classe Média,Desconhecido
87,22.91,1.79,78.93,Masculino,Azul,Castanho,Envenenamento,Trabalho,Parda,Classe Média,Desconhecido
1062,51.78,1.52,30.85,Masculino,Castanho,Ruivo,Esfaqueamento,Casa,Branca,Classe Baixa,Desconhecido
890,35.6,1.63,65.8,Feminino,Castanho,Loiro,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
1203,37.36,1.57,78.67,Masculino,Preto,Preto,Contusão,Casa,Parda,Classe Média,Desconhecido
1490,45.54,1.65,64.43,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
62,38.51,1.76,41.94,Feminino,Verde,Preto,Estrangulamento,Rua,Negra,Classe Média,Desconhecido
1513,58.03,1.66,66.4,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
303,15.08,1.71,64.29,Masculino,Verde,Ruivo,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
641,19.9,1.73,74.32,Feminino,Azul,Preto,Contusão,Rua,Amarela,Classe Alta,Desconhecido
844,55.93,1.73,33.68,Masculino,Castanho,Preto,Estrangulamento,Casa,Branca,Classe Média,Desconhecido
1280,15.74,1.57,39.72,Masculino,Azul,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Média,ElBigodon Camacho
405,41.97,1.47,80.94,Feminino,Azul,Castanho,Contusão,Rua,Negra,Classe Alta,Desconhecido
1519,42.23,1.72,36.38,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva
1294,16.51,1.58,42.36,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1655,31.59,1.8,74.57,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
524,24.3,1.47,79.65,Masculino,Preto,Loiro,Contusão,Escola,Amarela,Classe Alta,Desconhecido
558,41.54,1.61,71.2,Masculino,Azul,Ruivo,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
1812,32.28,1.77,77.73,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1473,14.04,1.73,63.73,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1129,27.32,1.68,88.95,Masculino,Verde,Preto,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
1184,59.68,1.89,69.23,Feminino,Castanho,Preto,Esfaqueamento,Escola,Amarela,Classe Média,Desconhecido
1226,23.6,1.56,34.64,Masculino,Castanho,Loiro,Esfaqueamento,Trabalho,Branca,Classe Média,ElBigodon Camacho
1303,17.87,1.83,43.69,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
228,53.52,1.63,44.28,Masculino,Castanho,Ruivo,Contusão,Trabalho,Branca,Classe Baixa,Desconhecido
1200,30.76,1.57,56.49,Masculino,Preto,Castanho,Esfaqueamento,Trabalho,Amarela,Classe Média,Desconhecido
905,16.52,1.58,80.33,Masculino,Castanho,Ruivo,Contusão,Trabalho,Amarela,Classe Baixa,Desconhecido
897,43.4,1.61,50.93,Masculino,Verde,Ruivo,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
1438,41.85,1.88,62.83,Feminino,Preto,Preto,Envenenamento,Casa,Branca,Classe Baixa,Coringon de le pinheirinho Silva
1305,11.06,1.6,38.09,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
364,56.85,1.8,41.69,Feminino,Preto,Preto,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
41,14.11,1.67,89.38,Feminino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Média,Desconhecido
1100,54.55,1.42,40.24,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Amarela,Classe Média,Desconhecido
29,53.44,1.78,48.46,Masculino,Verde,Castanho,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
1205,24.92,1.84,46.26,Masculino,Azul,Castanho,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
209,34.07,1.6,35.43,Masculino,Castanho,Ruivo,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
1385,19.05,1.57,42.14,Masculino,Azul,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
717,35.91,1.46,31.86,Masculino,Verde,Preto,Estrangulamento,Rua,Branca,Classe Média,Desconhecido
1449,13.95,1.74,58.49,Feminino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Alta,Coringon de le pinheirinho Silva
355,39.43,1.76,63.95,Masculino,Preto,Castanho,Estrangulamento,Casa,Amarela,Classe Alta,Desconhecido
963,38.17,1.4,84.8,Masculino,Verde,Ruivo,Contusão,Trabalho,Negra,Classe Baixa,Desconhecido
912,34.3,1.52,77.46,Masculino,Preto,Loiro,Estrangulamento,Trabalho,Parda,Classe Média,Desconhecido
1098,17.96,1.84,44.8,Feminino,Preto,Ruivo,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
122,52.54,1.46,63.55,Masculino,Preto,Castanho,Envenenamento,Escola,Negra,Classe Média,Desconhecido
1298,14.29,1.56,40.66,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
778,45.95,1.79,80.82,Feminino,Castanho,Preto,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
1760,28.76,1.63,39.45,Feminino,Preto,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
310,11.2,1.51,33.08,Masculino,Castanho,Preto,Estrangulamento,Casa,Branca,Classe Baixa,Desconhecido
301,34.06,1.58,40.75,Feminino,Castanho,Castanho,Contusão,Trabalho,Amarela,Classe Média,Desconhecido
64,49.61,1.52,34.57,Feminino,Azul,Castanho,Estrangulamento,Escola,Negra,Classe Média,Desconhecido
1463,42.86,1.68,51.91,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
581,13.61,1.43,60.37,Feminino,Preto,Castanho,Esfaqueamento,Escola,Branca,Classe Alta,Desconhecido
1233,22.56,1.44,42.55,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
636,26.11,1.57,58.26,Feminino,Castanho,Preto,Contusão,Casa,Negra,Classe Média,Desconhecido
1293,47.32,1.52,44.12,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
0,55.91,1.63,60.61,Masculino,Castanho,Castanho,Estrangulamento,Escola,Parda,Classe Alta,Desconhecido
1215,24.24,1.59,30.02,Masculino,Preto,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
166,27.67,1.69,58.23,Feminino,Preto,Castanho,Contusão,Rua,Amarela,Classe Alta,Desconhecido
1486,45.26,1.56,61.12,Masculino,Castanho,Ruivo,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
1589,35.74,1.77,53.37,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1537,46.58,1.6,59.14,Feminino,Castanho,Preto,Contusão,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
1321,13.61,1.63,39.77,Masculino,Azul,Loiro,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho
1576,36.41,1.82,86.28,Masculino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
1820,23.8,1.68,30.84,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
746,28.56,1.45,77.25,Masculino,Castanho,Castanho,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
469,38.08,1.43,82.55,Feminino,Castanho,Castanho,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
882,19.05,1.46,83.15,Feminino,Castanho,Castanho,Esfaqueamento,Trabalho,Amarela,Classe Média,Desconhecido
30,55.77,1.4,53.6,Feminino,Castanho,Loiro,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
1495,39.68,1.7,53.83,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
