,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
658,55.31,1.67,57.15,Masculino,Verde,Loiro,Estrangulamento,Rua,Parda,Classe Alta,Desconhecido
1939,42.57,1.75,65.48,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
2044,32.12,1.69,60.8,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1033,56.6,1.84,81.69,Feminino,Castanho,Loiro,Envenenamento,Casa,Parda,Classe Alta,Desconhecido
1860,15.32,1.56,43.03,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1899,59.0,1.51,61.09,Masculino,Preto,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
296,43.79,1.6,79.2,Feminino,Preto,Ruivo,Envenenamento,Casa,Amarela,Classe Média,Desconhecido
2161,19.83,1.72,78.38,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
371,37.49,1.87,68.37,Feminino,Verde,Castanho,Esfaqueamento,Escola,Branca,Classe Média,Desconhecido
26,32.97,1.42,46.81,Feminino,Preto,Castanho,Esfaqueamento,Escola,Negra,Classe Média,Desconhecido
600,45.29,1.9,43.23,Feminino,Castanho,Ruivo,Envenenamento,Escola,Parda,Classe Média,Desconhecido
1544,40.34,1.52,43.49,Feminino,Preto,Preto,Estrangulamento,Rua,Amarela,Classe Baixa,Desconhecido
1846,15.98,1.42,36.75,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
465,36.58,1.6,89.86,Masculino,Preto,Castanho,Envenenamento,Casa,Parda,Classe Média,Desconhecido
850,43.78,1.42,51.71,Feminino,Azul,Ruivo,Envenenamento,Rua,Negra,Classe Média,Desconhecido
1043,50.19,1.76,30.63,Masculino,Azul,Castanho,Estrangulamento,Escola,Negra,Classe Baixa,Desconhecido
1355,45.76,1.85,30.89,Masculino,Verde,Loiro,Esfaqueamento,Escola,Branca,Classe Média,Desconhecido
367,52.45,1.45,61.44,Feminino,Castanho,Loiro,Contusão,Trabalho,Branca,Classe Média,Desconhecido
998,49.19,1.68,40.11,Feminino,Castanho,Castanho,Estrangulamento,Escola,Branca,Classe Média,Desconhecido
528,14.87,1.89,88.21,Feminino,Preto,Loiro,Esfaqueamento,Casa,Branca,Classe Alta,Desconhecido
1227,56.24,1.58,40.32,Feminino,Castanho,Loiro,Contusão,Trabalho,Branca,Classe Alta,Desconhecido
139,28.49,1.69,62.63,Feminino,Azul,Ruivo,Estrangulamento,Trabalho,Parda,Classe Alta,Desconhecido
100,42.95,1.46,83.4,Masculino,Verde,Castanho,Esfaqueamento,Casa,Parda,Classe Média,Desconhecido
603,28.36,1.49,67.15,Masculino,Preto,Preto,Contusão,Escola,Branca,Classe Alta,Desconhecido
1607,37.1,1.88,56.66,Masculino,Preto,Castanho,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
552,11.64,1.62,45.36,Feminino,Preto,Castanho,Estrangulamento,Trabalho,Parda,Classe Baixa,Desconhecido
193,49.33,1.59,37.1,Masculino,Preto,Castanho,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido
1532,54.39,1.88,61.47,Masculino,Castanho,Ruivo,Estrangulamento,Escola,Negra,Classe Baixa,Desconhecido
1997,43.79,1.67,59.2,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
609,34.9,1.56,58.69,Feminino,Castanho,Loiro,Contusão,Escola,Negra,Classe Baixa,Desconhecido
243,57.8,1.78,87.2,Feminino,Verde,Ruivo,Contusão,Escola,Parda,Classe Baixa,Desconhecido
1232,20.58,1.69,70.15,Masculino,Preto,Loiro,Estrangulamento,Casa,Negra,Classe Alta,Desconhecido
1919,36.47,1.68,54.57,Feminino,Castanho,Preto,Contusão,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
872,28.99,1.84,46.69,Masculino,Castanho,Castanho,Estrangulamento,Rua,Branca,Classe Média,Desconhecido
1683,19.58,1.66,81.26,Feminino,Preto,Preto,Esfaqueamento,Escola,Branca,Classe Alta,Desconhecido
735,41.32,1.51,84.06,Masculino,Castanho,Ruivo,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido
332,51.23,1.48,35.18,Feminino,Azul,Loiro,Estrangulamento,Trabalho,Negra,Classe Média,Desconhecido
1993,45.11,1.71,55.08,Masculino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
1142,22.3,1.47,51.05,Feminino,Preto,Preto,Contusão,Casa,Parda,Classe Alta,Desconhecido
1283,53.09,1.77,46.69,Masculino,Azul,Loiro,Envenenamento,Escola,Negra,Classe Alta,Desconhecido
566,42.22,1.71,52.23,Masculino,Azul,Preto,Contusão,Rua,Amarela,Classe Média,Desconhecido
733,19.7,1.53,84.76,Masculino,Preto,Loiro,Estrangulamento,Escola,Branca,Classe Alta,Desconhecido
887,57.7,1.57,82.42,Feminino,Verde,Castanho,Esfaqueamento,Rua,Branca,Classe Alta,Desconhecido
1254,40.19,1.69,30.97,Feminino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Média,Desconhecido
419,40.72,1.68,51.55,Feminino,Verde,Ruivo,Envenenamento,Casa,Negra,Classe Média,Desconhecido
1938,45.16,1.6,32.97,Feminino,Castanho,Loiro,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
2245,23.76,1.8,80.57,Feminino,Verde,Loiro,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
1121,22.22,1.72,80.2,Masculino,Verde,Preto,Estrangulamento,Trabalho,Parda,Classe Alta,Desconhecido
1341,52.58,1.57,43.67,Masculino,Azul,Ruivo,Estrangulamento,Rua,Parda,Classe Alta,Desconhecido
1042,20.67,1.41,81.99,Masculino,Preto,Loiro,Esfaqueamento,Escola,Negra,Classe Alta,Desconhecido
1903,12.41,1.44,42.92,Masculino,Azul,Loiro,Contusão,Rua,Negra,Classe Baixa,ElBigodon Camacho
1577,46.59,1.48,70.33,Masculino,Preto,Ruivo,Contusão,Casa,Negra,Classe Média,Desconhecido
1263,20.69,1.48,55.07,Masculino,Verde,Preto,Estrangulamento,Escola,Amarela,Classe Alta,Desconhecido
1007,34.12,1.88,83.96,Feminino,Verde,Loiro,Envenenamento,Rua,Parda,Classe Média,Desconhecido
474,46.49,1.78,65.52,Feminino,Castanho,Ruivo,Contusão,Escola,Branca,Classe Média,Desconhecido
476,21.31,1.89,79.0,Feminino,Castanho,Preto,Estrangulamento,Rua,Parda,Classe Média,Desconhecido
754,25.19,1.78,77.99,Feminino,Verde,Loiro,Esfaqueamento,Escola,Branca,Classe Média,Desconhecido
638,27.58,1.8,32.28,Feminino,Castanho,Loiro,Esfaqueamento,Rua,Amarela,Classe Baixa,Desconhecido
1285,42.17,1.62,42.25,Feminino,Castanho,Ruivo,Envenenamento,Trabalho,Amarela,Classe Média,Desconhecido
1870,15.38,1.67,41.11,Masculino,Azul,Loiro,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho
886,54.1,1.54,35.35,Masculino,Castanho,Loiro,Envenenamento,Casa,Branca,Classe Alta,Desconhecido
19,19.33,1.81,42.55,Feminino,Azul,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Baixa,Desconhecido
1885,13.52,1.43,43.81,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1460,37.76,1.77,45.09,Feminino,Verde,Preto,Contusão,Rua,Amarela,Classe Baixa,Desconhecido
1603,13.62,1.74,60.65,Masculino,Preto,Castanho,Esfaqueamento,Casa,Amarela,Classe Baixa,Desconhecido
1252,54.17,1.48,67.18,Feminino,Verde,Preto,Esfaqueamento,Rua,Branca,Classe Média,Desconhecido
1847,24.28,1.6,35.41,Masculino,Azul,Preto,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
621,18.84,1.65,72.19,Feminino,Azul,Castanho,Esfaqueamento,Casa,Parda,Classe Média,Desconhecido
126,14.17,1.51,30.84,Masculino,Preto,Ruivo,Envenenamento,Casa,Branca,Classe Média,Desconhecido
1435,39.41,1.62,30.39,Feminino,Azul,Preto,Contusão,Trabalho,Negra,Classe Alta,Desconhecido
1393,10.72,1.82,45.25,Feminino,Castanho,Preto,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
1701,23.44,1.52,41.58,Masculino,Azul,Loiro,Esfaqueamento,Escola,Amarela,Classe Média,ElBigodon Camacho
1963,48.69,1.72,60.37,Feminino,Azul,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
108,38.16,1.65,66.34,Masculino,Preto,Castanho,Contusão,Casa,Negra,Classe Alta,Desconhecido
1391,19.03,1.49,43.2,Masculino,Castanho,Loiro,Esfaqueamento,Escola,Amarela,Classe Baixa,Desconhecido
412,23.3,1.82,74.56,Feminino,Verde,Loiro,Contusão,Trabalho,Negra,Classe Média,Desconhecido
1518,40.63,1.47,62.28,Masculino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Desconhecido
1533,36.54,1.56,69.9,Masculino,Azul,Ruivo,Esfaqueamento,Escola,Amarela,Classe Média,Desconhecido
1704,22.73,1.55,45.02,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
194,18.25,1.61,82.69,Masculino,Castanho,Loiro,Envenenamento,Rua,Branca,Classe Média,Desconhecido
1620,59.95,1.69,78.39,Masculino,Castanho,Castanho,Esfaqueamento,Trabalho,Parda,Classe Alta,Desconhecido
1149,16.92,1.88,89.0,Masculino,Verde,Castanho,Estrangulamento,Escola,Branca,Classe Alta,Desconhecido
1476,13.22,1.64,43.33,Feminino,Verde,Loiro,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido
1956,43.85,1.59,54.55,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
563,49.85,1.66,73.65,Masculino,Azul,Preto,Esfaqueamento,Casa,Negra,Classe Média,Desconhecido
78,46.99,1.66,60.14,Masculino,Azul,Preto,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido
646,14.59,1.78,74.29,Masculino,Verde,Loiro,Estrangulamento,Casa,Parda,Classe Alta,Desconhecido
1282,32.13,1.62,42.12,Masculino,Azul,Castanho,Envenenamento,Escola,Negra,Classe Alta,Desconhecido
2148,31.89,1.71,77.65,Masculino,Preto,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
1463,28.7,1.42,35.03,Feminino,Azul,Ruivo,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
2032,33.21,1.78,53.62,Masculino,Castanho,Ruivo,Envenenamento,Casa,Amarela,Classe Média,Coringon de le pinheirinho Silva
359,51.86,1.63,47.29,Feminino,Castanho,Loiro,Estrangulamento,Escola,Amarela,Classe Baixa,Desconhecido
514,15.91,1.8,43.93,Masculino,Verde,Preto,Contusão,Rua,Amarela,Classe Alta,Desconhecido
1104,33.0,1.67,83.91,Masculino,Preto,Preto,Envenenamento,Rua,Negra,Classe Alta,Desconhecido
1380,21.7,1.64,42.14,Feminino,Azul,Loiro,Contusão,Trabalho,Parda,Classe Alta,Desconhecido
1866,21.79,1.53,46.66,Masculino,Preto,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
1287,15.2,1.51,88.12,Feminino,Azul,Preto,Contusão,Trabalho,Amarela,Classe Alta,Desconhecido
300,42.58,1.81,50.53,Feminino,Castanho,Ruivo,Envenenamento,Trabalho,Parda,Classe Média,Desconhecido
1958,34.05,1.7,55.15,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1781,45.65,1.51,62.41,Masculino,Azul,Ruivo,Esfaqueamento,Escola,Branca,Classe Média,ElBigodon Camacho
1768,24.52,1.48,33.3,Masculino,Preto,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
8,55.56,1.77,65.26,Masculino,Preto,Castanho,Envenenamento,Trabalho,Negra,Classe Média,Desconhecido
815,11.05,1.79,39.65,Masculino,Castanho,Castanho,Contusão,Escola,Amarela,Classe Baixa,Desconhecido
1363,42.64,1.85,76.36,Feminino,Azul,Loiro,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido
1970,38.57,1.64,55.85,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
79,36.18,1.55,83.53,Feminino,Verde,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Alta,Desconhecido
926,28.54,1.87,88.21,Masculino,Verde,Preto,Contusão,Casa,Negra,Classe Baixa,Desconhecido
241,16.04,1.8,34.79,Feminino,Azul,Castanho,Esfaqueamento,Casa,Amarela,Classe Alta,Desconhecido
1280,54.59,1.44,61.15,Feminino,Verde,Preto,Envenenamento,Casa,Negra,Classe Média,Desconhecido
47,52.38,1.51,74.5,Feminino,Preto,Ruivo,Envenenamento,Escola,Amarela,Classe Baixa,Desconhecido
2068,44.87,1.56,66.84,Masculino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
816,44.83,1.57,37.26,Feminino,Castanho,Ruivo,Esfaqueamento,Escola,Branca,Classe Média,Desconhecido
1046,24.88,1.69,69.38,Masculino,Verde,Castanho,Estrangulamento,Escola,Amarela,Classe Baixa,Desconhecido
1065,30.87,1.44,36.5,Feminino,Azul,Ruivo,Envenenamento,Escola,Negra,Classe Alta,Desconhecido
286,46.35,1.62,63.32,Feminino,Castanho,Loiro,Contusão,Rua,Branca,Classe Baixa,Desconhecido
1202,13.99,1.46,36.43,Masculino,Preto,Castanho,Contusão,Trabalho,Negra,Classe Alta,Desconhecido
920,35.23,1.63,47.6,Feminino,Verde,Castanho,Estrangulamento,Trabalho,Branca,Classe Baixa,Desconhecido
2051,46.12,1.71,60.75,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
515,42.6,1.54,72.73,Feminino,Preto,Ruivo,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido
450,33.09,1.78,41.48,Masculino,Preto,Loiro,Contusão,Rua,Parda,Classe Baixa,Desconhecido
800,46.42,1.7,89.23,Masculino,Preto,Castanho,Envenenamento,Rua,Parda,Classe Média,Desconhecido
53,49.02,1.56,42.62,Masculino,Castanho,Castanho,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
1777,20.5,1.44,41.73,Masculino,Azul,Loiro,Esfaqueamento,Rua,Amarela,Classe Média,ElBigodon Camacho
407,25.34,1.6,41.04,Feminino,Verde,Preto,Envenenamento,Rua,Negra,Classe Alta,Desconhecido
943,59.22,1.69,68.93,Masculino,Azul,Ruivo,Contusão,Escola,Parda,Classe Média,Desconhecido
625,12.81,1.84,63.34,Feminino,Castanho,Ruivo,Envenenamento,Rua,Branca,Classe Média,Desconhecido
862,58.44,1.53,70.04,Masculino,Verde,Loiro,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
1996,44.44,1.67,61.83,Feminino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
863,33.89,1.63,44.28,Masculino,Castanho,Preto,Esfaqueamento,Escola,Negra,Classe Baixa,Desconhecido
1530,16.79,1.67,71.97,Masculino,Castanho,Ruivo,Contusão,Casa,Negra,Classe Baixa,Desconhecido
1978,38.77,1.58,34.64,Feminino,Castanho,Loiro,Estrangulamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
2222,31.9,1.73,78.93,Feminino,Verde,Castanho,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
1529,57.24,1.64,64.13,Feminino,Preto,Loiro,Envenenamento,Casa,Parda,Classe Baixa,Desconhecido
52,15.42,1.8,50.86,Feminino,Azul,Preto,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
1177,40.24,1.77,34.79,Feminino,Verde,Castanho,Contusão,Trabalho,Branca,Classe Média,Desconhecido
2116,30.65,1.74,75.11,Feminino,Castanho,Ruivo,Estrangulamento,Escola,Branca,Classe Alta,Roberto Chimarildo Tomáz
459,47.97,1.89,36.41,Feminino,Castanho,Preto,Estrangulamento,Trabalho,Negra,Classe Baixa,Desconhecido
1182,20.5,1.59,77.79,Feminino,Azul,Loiro,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
1016,34.69,1.71,65.7,Feminino,Castanho,Loiro,Envenenamento,Trabalho,Parda,Classe Média,Desconhecido
751,33.44,1.46,35.16,Feminino,Castanho,Castanho,Contusão,Casa,Branca,Classe Média,Desconhecido
1563,43.68,1.77,65.77,Masculino,Verde,Preto,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
56,51.68,1.81,73.95,Feminino,Preto,Ruivo,Contusão,Trabalho,Parda,Classe Baixa,Desconhecido
1925,46.04,1.76,65.5,Masculino,Castanho,Preto,Estrangulamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1346,47.25,1.6,73.43,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
1244,24.89,1.69,77.31,Masculino,Verde,Castanho,Contusão,Rua,Negra,Classe Alta,Desconhecido
2141,29.99,1.86,61.51,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
369,37.71,1.56,45.34,Feminino,Castanho,Ruivo,Contusão,Rua,Branca,Classe Alta,Desconhecido
551,55.86,1.6,86.63,Masculino,Preto,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido
1770,23.34,1.58,46.88,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
2002,42.18,1.73,58.76,Feminino,Castanho,Ruivo,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1600,37.33,1.5,72.62,Masculino,Preto,Preto,Envenenamento,Casa,Amarela,Classe Média,Desconhecido
1622,45.79,1.75,47.69,Feminino,Preto,Preto,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
1681,40.56,1.68,30.81,Feminino,Azul,Castanho,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
1015,25.81,1.48,46.48,Masculino,Preto,Loiro,Envenenamento,Escola,Amarela,Classe Média,Desconhecido
1786,14.49,1.4,39.04,Masculino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
2109,28.96,1.84,84.29,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
414,33.01,1.41,71.13,Feminino,Preto,Preto,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
1656,18.38,1.88,37.17,Feminino,Verde,Castanho,Esfaqueamento,Casa,Parda,Classe Média,Desconhecido
1839,16.2,1.41,35.5,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1525,57.38,1.85,63.19,Masculino,Preto,Ruivo,Esfaqueamento,Casa,Parda,Classe Baixa,Desconhecido
1005,18.24,1.57,83.49,Masculino,Castanho,Ruivo,Estrangulamento,Rua,Amarela,Classe Alta,Desconhecido
1680,19.96,1.58,52.27,Masculino,Azul,Castanho,Envenenamento,Trabalho,Parda,Classe Alta,Desconhecido
35,49.24,1.78,55.7,Feminino,Castanho,Ruivo,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
204,51.68,1.63,44.37,Masculino,Castanho,Ruivo,Esfaqueamento,Escola,Amarela,Classe Alta,Desconhecido
1542,14.45,1.45,54.98,Masculino,Preto,Loiro,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
1569,58.77,1.72,30.46,Masculino,Verde,Preto,Esfaqueamento,Rua,Amarela,Classe Média,Desconhecido
1568,42.0,1.8,44.24,Masculino,Preto,Ruivo,Envenenamento,Rua,Branca,Classe Baixa,Desconhecido
1691,22.39,1.46,64.4,Masculino,Preto,Ruivo,Envenenamento,Trabalho,Amarela,Classe Alta,Desconhecido
983,49.78,1.47,81.61,Masculino,Preto,Preto,Envenenamento,Casa,Branca,Classe Média,Desconhecido
636,44.41,1.8,87.19,Masculino,Castanho,Castanho,Envenenamento,Trabalho,Amarela,Classe Média,Desconhecido
309,26.65,1.51,82.59,Feminino,Verde,Castanho,Envenenamento,Escola,Negra,Classe Média,Desconhecido
1495,50.9,1.7,48.44,Masculino,Castanho,Loiro,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
582,20.77,1.89,41.15,Masculino,Azul,Preto,Contusão,Casa,Amarela,Classe Baixa,Desconhecido
994,57.56,1.88,44.99,Masculino,Preto,Loiro,Contusão,Escola,Parda,Classe Baixa,Desconhecido
1567,16.23,1.73,81.05,Masculino,Azul,Loiro,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
285,35.71,1.46,85.17,Masculino,Verde,Castanho,Contusão,Rua,Negra,Classe Alta,Desconhecido
1464,47.75,1.68,35.3,Feminino,Verde,Loiro,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
1775,12.49,1.43,34.38,Masculino,Verde,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1782,22.22,1.83,34.03,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
331,41.48,1.58,62.77,Feminino,Preto,Castanho,Envenenamento,Trabalho,Negra,Classe Média,Desconhecido
1072,23.88,1.63,47.31,Feminino,Castanho,Castanho,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
726,23.43,1.8,88.14,Masculino,Preto,Ruivo,Esfaqueamento,Escola,Branca,Classe Média,Desconhecido
1988,42.72,1.79,54.45,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1245,34.76,1.46,88.54,Feminino,Preto,Preto,Contusão,Escola,Parda,Classe Alta,Desconhecido
817,48.76,1.68,48.55,Feminino,Preto,Preto,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido
152,45.3,1.59,59.13,Feminino,Verde,Castanho,Estrangulamento,Escola,Negra,Classe Alta,Desconhecido
342,23.21,1.72,48.43,Masculino,Azul,Castanho,Contusão,Rua,Amarela,Classe Média,Desconhecido
1268,19.81,1.63,53.52,Feminino,Verde,Loiro,Envenenamento,Casa,Parda,Classe Alta,Desconhecido
879,29.84,1.82,69.1,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Branca,Classe Média,Desconhecido
2236,32.13,1.76,84.95,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
288,51.7,1.43,41.75,Masculino,Preto,Preto,Contusão,Trabalho,Negra,Classe Média,Desconhecido
2060,38.81,1.74,56.72,Feminino,Castanho,Preto,Envenenamento,Casa,Amarela,Classe Média,Coringon de le pinheirinho Silva
341,42.99,1.63,56.48,Masculino,Azul,Preto,Envenenamento,Rua,Branca,Classe Alta,Desconhecido
1277,37.85,1.43,52.06,Masculino,Castanho,Preto,Envenenamento,Trabalho,Negra,Classe Baixa,Desconhecido
1137,21.69,1.79,71.6,Feminino,Azul,Ruivo,Estrangulamento,Trabalho,Negra,Classe Alta,Desconhecido
104,54.43,1.44,75.96,Masculino,Castanho,Preto,Estrangulamento,Casa,Branca,Classe Baixa,Desconhecido
954,28.23,1.67,66.2,Feminino,Castanho,Castanho,Contusão,Escola,Amarela,Classe Alta,Desconhecido
94,18.21,1.85,67.98,Feminino,Preto,Castanho,Esfaqueamento,Casa,Branca,Classe Média,Desconhecido
151,33.21,1.8,33.97,Feminino,Castanho,Loiro,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido
977,43.94,1.82,59.88,Feminino,Castanho,Loiro,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
1237,44.92,1.66,70.79,Feminino,Verde,Preto,Estrangulamento,Escola,Branca,Classe Baixa,Desconhecido
67,13.69,1.61,46.74,Masculino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Alta,Desconhecido
2163,30.07,1.68,78.17,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
659,21.25,1.69,55.6,Feminino,Verde,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Baixa,Desconhecido
963,22.28,1.46,54.16,Feminino,Verde,Loiro,Estrangulamento,Rua,Branca,Classe Baixa,Desconhecido
