,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer Real
542,26.03,1.79,59.41,Feminino,Azul,Ruivo,Envenenamento,Rua,Parda,Classe Média,Desconhecido
873,11.51,1.62,81.58,Masculino,Verde,Castanho,Esfaqueamento,Rua,Parda,Classe Média,Desconhecido
657,39.06,1.76,81.73,Feminino,Azul,Preto,Estrangulamento,Escola,Parda,Classe Alta,Desconhecido
538,31.13,1.68,71.75,Masculino,Azul,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Desconhecido
595,11.99,1.73,47.49,Feminino,Verde,Ruivo,Contusão,Trabalho,Negra,Classe Baixa,Desconhecido
1250,35.3,1.46,63.03,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Parda,Classe Média,Desconhecido
630,32.68,1.55,77.83,Feminino,Castanho,Castanho,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
376,57.32,1.51,31.8,Feminino,Preto,Preto,Envenenamento,Casa,Branca,Classe Baixa,Desconhecido
751,46.69,1.55,32.04,Feminino,Preto,Ruivo,Envenenamento,Casa,Parda,Classe Média,Desconhecido
1283,25.38,1.67,34.94,Masculino,Preto,Preto,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
1447,23.03,1.45,36.19,Masculino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
888,29.53,1.89,84.57,Feminino,Verde,Preto,Contusão,Casa,Branca,Classe Alta,Desconhecido
1405,19.75,1.52,45.74,Masculino,Azul,Ruivo,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1503,34.67,1.66,58.64,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
244,36.25,1.66,55.4,Masculino,Verde,Castanho,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
238,44.15,1.48,57.51,Feminino,Azul,Preto,Estrangulamento,Casa,Negra,Classe Alta,Desconhecido
1184,47.81,1.72,65.86,Feminino,Azul,Loiro,Estrangulamento,Rua,Parda,Classe Alta,Desconhecido
597,57.18,1.86,54.16,Masculino,Castanho,Loiro,Esfaqueamento,Escola,Branca,Classe Alta,Desconhecido
1475,38.04,1.61,56.18,Masculino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
1412,27.76,1.52,34.72,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1651,32.65,1.77,54.05,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
19,53.38,1.77,40.17,Masculino,Preto,Ruivo,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
1174,38.86,1.84,55.58,Masculino,Azul,Loiro,Contusão,Escola,Branca,Classe Alta,Desconhecido
540,40.54,1.47,54.43,Feminino,Castanho,Ruivo,Contusão,Trabalho,Parda,Classe Alta,Desconhecido
1479,59.82,1.62,45.83,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1181,55.41,1.6,45.28,Feminino,Castanho,Loiro,Envenenamento,Casa,Parda,Classe Alta,Desconhecido
1661,21.47,1.86,77.19,Feminino,Verde,Preto,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
804,11.12,1.73,38.49,Feminino,Verde,Ruivo,Esfaqueamento,Casa,Amarela,Classe Média,Desconhecido
1508,35.45,1.78,60.85,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1429,35.7,1.51,41.63,Masculino,Preto,Loiro,Esfaqueamento,Trabalho,Branca,Classe Média,ElBigodon Camacho
1420,19.82,1.54,34.09,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1003,25.03,1.81,78.45,Masculino,Verde,Ruivo,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
704,47.12,1.41,37.52,Feminino,Azul,Ruivo,Esfaqueamento,Trabalho,Amarela,Classe Alta,Desconhecido
1176,59.29,1.84,45.87,Masculino,Preto,Castanho,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido
914,26.08,1.71,74.61,Feminino,Preto,Castanho,Estrangulamento,Rua,Branca,Classe Baixa,Desconhecido
1158,23.22,1.49,65.47,Masculino,Castanho,Ruivo,Envenenamento,Rua,Amarela,Classe Alta,Desconhecido
274,54.17,1.59,59.92,Masculino,Preto,Loiro,Estrangulamento,Escola,Negra,Classe Média,Desconhecido
801,21.76,1.82,74.86,Masculino,Azul,Ruivo,Envenenamento,Casa,Parda,Classe Alta,Desconhecido
1139,20.97,1.45,53.79,Masculino,Azul,Preto,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
380,20.54,1.51,46.74,Feminino,Azul,Loiro,Envenenamento,Casa,Branca,Classe Alta,Desconhecido
602,23.84,1.42,59.5,Feminino,Preto,Preto,Esfaqueamento,Rua,Amarela,Classe Alta,Desconhecido
763,55.97,1.8,47.13,Feminino,Azul,Preto,Contusão,Escola,Negra,Classe Baixa,Desconhecido
1701,31.18,1.9,84.92,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Baixa,Roberto Chimarildo Tomáz
188,12.42,1.84,67.53,Masculino,Castanho,Loiro,Estrangulamento,Escola,Branca,Classe Média,Desconhecido
1364,18.21,1.43,38.45,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
793,18.72,1.85,35.12,Feminino,Castanho,Loiro,Esfaqueamento,Casa,Amarela,Classe Baixa,Desconhecido
1318,16.97,1.48,38.7,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
1714,29.29,1.9,73.64,Masculino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
968,24.06,1.87,54.13,Feminino,Azul,Castanho,Envenenamento,Rua,Amarela,Classe Média,Desconhecido
870,58.26,1.77,55.52,Feminino,Azul,Preto,Envenenamento,Casa,Parda,Classe Média,Desconhecido
564,35.95,1.62,53.58,Masculino,Verde,Preto,Contusão,Rua,Parda,Classe Média,Desconhecido
1588,45.5,1.79,56.88,Feminino,Castanho,Ruivo,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1680,30.91,1.82,79.6,Feminino,Preto,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
23,47.35,1.42,79.32,Masculino,Verde,Preto,Contusão,Rua,Amarela,Classe Média,Desconhecido
1089,58.82,1.51,63.18,Masculino,Azul,Castanho,Envenenamento,Casa,Parda,Classe Baixa,Desconhecido
1828,44.34,1.81,78.05,Feminino,Azul,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
973,16.24,1.53,76.54,Masculino,Preto,Preto,Estrangulamento,Casa,Parda,Classe Alta,Desconhecido
1038,14.08,1.9,68.51,Feminino,Azul,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Baixa,Desconhecido
918,20.25,1.73,87.14,Masculino,Preto,Loiro,Esfaqueamento,Escola,Parda,Classe Média,Desconhecido
233,35.33,1.62,44.07,Masculino,Castanho,Loiro,Contusão,Escola,Parda,Classe Média,Desconhecido
1436,11.98,1.6,35.17,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
1672,36.46,1.72,81.19,Feminino,Verde,Castanho,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
764,32.74,1.74,63.63,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Negra,Classe Média,Desconhecido
491,59.7,1.55,75.01,Feminino,Castanho,Castanho,Contusão,Rua,Parda,Classe Média,Desconhecido
1148,33.86,1.6,40.91,Masculino,Castanho,Castanho,Estrangulamento,Escola,Branca,Classe Baixa,Desconhecido
1264,18.8,1.45,43.57,Masculino,Castanho,Loiro,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
205,15.23,1.68,57.52,Masculino,Azul,Preto,Estrangulamento,Casa,Branca,Classe Baixa,Desconhecido
1794,53.08,1.8,73.39,Feminino,Verde,Ruivo,Contusão,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
1299,51.44,1.83,62.42,Feminino,Verde,Ruivo,Estrangulamento,Rua,Amarela,Classe Média,Desconhecido
1497,35.65,1.69,53.87,Masculino,Castanho,Ruivo,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1707,23.72,1.77,76.93,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
656,18.98,1.62,60.76,Feminino,Azul,Castanho,Esfaqueamento,Escola,Branca,Classe Média,Desconhecido
1112,48.75,1.66,39.79,Feminino,Castanho,Castanho,Contusão,Casa,Negra,Classe Média,Desconhecido
150,31.19,1.8,76.75,Feminino,Verde,Loiro,Esfaqueamento,Trabalho,Parda,Classe Alta,Desconhecido
171,35.16,1.42,82.04,Feminino,Verde,Ruivo,Envenenamento,Casa,Branca,Classe Alta,Desconhecido
1554,42.6,1.62,54.21,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
969,27.44,1.59,62.81,Masculino,Castanho,Preto,Estrangulamento,Casa,Parda,Classe Média,Desconhecido
1256,44.37,1.56,32.32,Feminino,Azul,Loiro,Envenenamento,Escola,Branca,Classe Média,Desconhecido
1703,55.54,1.77,79.99,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
511,21.71,1.67,75.93,Feminino,Azul,Ruivo,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido
1607,37.23,1.77,37.46,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1210,23.01,1.57,69.59,Masculino,Verde,Loiro,Envenenamento,Casa,Amarela,Classe Baixa,Desconhecido
808,32.53,1.81,52.1,Feminino,Azul,Loiro,Estrangulamento,Escola,Parda,Classe Baixa,Desconhecido
865,54.66,1.57,31.95,Feminino,Castanho,Ruivo,Estrangulamento,Rua,Branca,Classe Média,Desconhecido
545,54.47,1.68,55.89,Feminino,Azul,Preto,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
692,55.26,1.75,52.34,Masculino,Preto,Preto,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
1527,33.28,1.41,86.82,Feminino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
584,14.62,1.45,67.48,Feminino,Azul,Ruivo,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido
1494,33.34,1.69,57.33,Masculino,Verde,Preto,Envenenamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
548,44.84,1.61,32.05,Masculino,Preto,Loiro,Envenenamento,Escola,Negra,Classe Média,Desconhecido
1739,31.32,1.53,76.69,Feminino,Verde,Ruivo,Envenenamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
621,13.71,1.53,87.1,Masculino,Verde,Ruivo,Estrangulamento,Rua,Parda,Classe Baixa,Desconhecido
517,56.35,1.78,88.4,Masculino,Verde,Loiro,Envenenamento,Trabalho,Amarela,Classe Alta,Desconhecido
1052,51.42,1.89,73.57,Masculino,Azul,Ruivo,Estrangulamento,Escola,Negra,Classe Média,Desconhecido
735,31.69,1.79,70.96,Masculino,Verde,Preto,Estrangulamento,Trabalho,Amarela,Classe Alta,Desconhecido
961,54.48,1.87,65.59,Feminino,Verde,Castanho,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido
1486,33.26,1.73,61.43,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1685,27.69,1.71,73.74,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Amarela,Classe Média,Roberto Chimarildo Tomáz
1481,33.62,1.76,54.45,Masculino,Azul,Loiro,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
1558,39.53,1.63,31.72,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1838,28.06,1.85,83.81,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
1657,38.64,1.77,59.16,Feminino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva
927,33.44,1.82,65.47,Masculino,Verde,Preto,Contusão,Rua,Parda,Classe Baixa,Desconhecido
189,57.21,1.54,47.79,Masculino,Preto,Preto,Envenenamento,Casa,Amarela,Classe Baixa,Desconhecido
285,10.94,1.55,72.68,Masculino,Castanho,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Média,Desconhecido
1584,32.33,1.74,57.04,Masculino,Verde,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1829,23.11,1.78,81.64,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
369,11.93,1.62,71.25,Masculino,Verde,Castanho,Envenenamento,Rua,Negra,Classe Média,Desconhecido
1695,24.21,1.74,76.26,Feminino,Preto,Ruivo,Estrangulamento,Escola,Negra,Classe Alta,Roberto Chimarildo Tomáz
476,57.4,1.42,87.28,Masculino,Preto,Preto,Esfaqueamento,Casa,Branca,Classe Média,Desconhecido
836,48.99,1.76,60.78,Feminino,Preto,Ruivo,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido
200,50.96,1.88,50.19,Masculino,Castanho,Ruivo,Envenenamento,Escola,Negra,Classe Alta,Desconhecido
560,12.52,1.68,79.96,Feminino,Preto,Castanho,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido
777,50.3,1.87,44.06,Feminino,Castanho,Preto,Contusão,Casa,Branca,Classe Baixa,Desconhecido
1449,19.1,1.61,44.81,Masculino,Azul,Loiro,Esfaqueamento,Rua,Parda,Classe Média,ElBigodon Camacho
1102,42.81,1.63,54.16,Masculino,Verde,Castanho,Esfaqueamento,Trabalho,Branca,Classe Baixa,Desconhecido
686,52.39,1.46,49.14,Feminino,Preto,Preto,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
728,14.35,1.75,49.09,Feminino,Castanho,Castanho,Estrangulamento,Casa,Amarela,Classe Média,Desconhecido
435,36.53,1.58,63.89,Masculino,Castanho,Castanho,Envenenamento,Rua,Parda,Classe Baixa,Desconhecido
1526,42.19,1.72,61.22,Masculino,Preto,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1718,31.44,1.76,80.87,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
232,10.74,1.54,46.81,Masculino,Castanho,Preto,Envenenamento,Trabalho,Amarela,Classe Alta,Desconhecido
1273,33.02,1.63,65.63,Masculino,Preto,Ruivo,Envenenamento,Trabalho,Parda,Classe Baixa,Desconhecido
1530,46.9,1.55,58.73,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
146,43.91,1.41,45.88,Masculino,Azul,Ruivo,Esfaqueamento,Escola,Parda,Classe Alta,Desconhecido
608,36.78,1.67,88.1,Masculino,Castanho,Preto,Contusão,Trabalho,Negra,Classe Média,Desconhecido
1612,37.8,1.77,66.85,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva
791,27.69,1.66,79.77,Feminino,Castanho,Ruivo,Envenenamento,Rua,Amarela,Classe Baixa,Desconhecido
1575,45.61,1.68,59.06,Masculino,Azul,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
227,45.55,1.81,36.87,Feminino,Preto,Loiro,Contusão,Casa,Branca,Classe Baixa,Desconhecido
1128,49.88,1.69,48.39,Feminino,Preto,Ruivo,Envenenamento,Trabalho,Branca,Classe Média,Desconhecido
58,53.25,1.48,83.79,Masculino,Azul,Ruivo,Contusão,Escola,Parda,Classe Média,Desconhecido
340,50.95,1.42,77.04,Masculino,Castanho,Castanho,Esfaqueamento,Casa,Amarela,Classe Média,Desconhecido
1149,12.57,1.78,55.51,Masculino,Preto,Loiro,Estrangulamento,Casa,Amarela,Classe Alta,Desconhecido
328,35.8,1.76,32.02,Masculino,Castanho,Loiro,Envenenamento,Escola,Branca,Classe Alta,Desconhecido
666,39.93,1.59,82.03,Feminino,Preto,Ruivo,Esfaqueamento,Rua,Parda,Classe Baixa,Desconhecido
1019,52.25,1.72,84.97,Feminino,Azul,Preto,Envenenamento,Escola,Negra,Classe Alta,Desconhecido
1550,53.16,1.59,55.82,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
665,44.47,1.44,77.36,Feminino,Castanho,Loiro,Envenenamento,Rua,Parda,Classe Alta,Desconhecido
635,32.75,1.44,71.92,Feminino,Castanho,Ruivo,Contusão,Casa,Negra,Classe Baixa,Desconhecido
393,57.03,1.67,48.98,Masculino,Verde,Loiro,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido
351,34.61,1.48,78.03,Feminino,Preto,Loiro,Envenenamento,Casa,Negra,Classe Baixa,Desconhecido
159,50.53,1.51,31.29,Feminino,Azul,Preto,Envenenamento,Casa,Negra,Classe Média,Desconhecido
207,36.31,1.47,52.68,Feminino,Preto,Ruivo,Esfaqueamento,Escola,Negra,Classe Baixa,Desconhecido
388,32.4,1.66,46.8,Masculino,Castanho,Loiro,Estrangulamento,Trabalho,Amarela,Classe Média,Desconhecido
1712,30.34,1.79,82.71,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Baixa,Roberto Chimarildo Tomáz
599,52.42,1.45,70.37,Feminino,Castanho,Loiro,Envenenamento,Rua,Parda,Classe Baixa,Desconhecido
86,37.5,1.47,53.8,Masculino,Verde,Preto,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
1275,42.17,1.42,76.03,Feminino,Verde,Castanho,Esfaqueamento,Rua,Branca,Classe Baixa,Desconhecido
1002,40.6,1.69,38.76,Feminino,Azul,Ruivo,Esfaqueamento,Rua,Negra,Classe Baixa,Desconhecido
1331,52.04,1.46,35.81,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1751,49.34,1.51,83.47,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
61,33.7,1.4,87.53,Masculino,Azul,Loiro,Esfaqueamento,Trabalho,Negra,Classe Baixa,Desconhecido
829,36.87,1.56,67.33,Masculino,Azul,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Alta,Desconhecido
1342,12.92,1.89,46.45,Masculino,Azul,Loiro,Esfaqueamento,Rua,Parda,Classe Média,ElBigodon Camacho
775,29.41,1.66,49.31,Masculino,Preto,Ruivo,Estrangulamento,Rua,Branca,Classe Alta,Desconhecido
396,56.22,1.72,69.98,Feminino,Preto,Preto,Estrangulamento,Casa,Parda,Classe Alta,Desconhecido
1629,32.96,1.62,57.54,Masculino,Castanho,Preto,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
303,51.78,1.83,44.08,Masculino,Castanho,Ruivo,Envenenamento,Rua,Negra,Classe Alta,Desconhecido
938,13.61,1.83,80.03,Masculino,Verde,Ruivo,Contusão,Escola,Parda,Classe Média,Desconhecido
344,37.16,1.65,38.37,Feminino,Azul,Preto,Contusão,Trabalho,Negra,Classe Alta,Desconhecido
1561,41.09,1.74,62.86,Masculino,Verde,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
140,18.52,1.67,35.29,Masculino,Azul,Castanho,Contusão,Casa,Negra,Classe Alta,Desconhecido
154,32.03,1.71,66.79,Feminino,Castanho,Loiro,Contusão,Rua,Amarela,Classe Baixa,Desconhecido
1623,44.53,1.69,65.43,Masculino,Azul,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1227,59.87,1.46,73.44,Feminino,Preto,Castanho,Envenenamento,Rua,Branca,Classe Alta,Desconhecido
1433,16.51,1.59,33.56,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
1175,16.68,1.73,46.01,Masculino,Preto,Ruivo,Estrangulamento,Escola,Negra,Classe Alta,Desconhecido
1418,51.77,1.56,35.74,Feminino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
1553,41.75,1.62,62.82,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
1363,19.7,1.83,46.76,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
93,38.3,1.83,65.61,Feminino,Verde,Castanho,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido
