,Unnamed: 0,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer Real,Serial Killer Previsto
90,1157,14.09,1.88,36.86,Feminino,Preto,Castanho,Estrangulamento,Rua,Negra,Classe Média,Desconhecido,Desconhecido
91,875,40.67,1.71,88.25,Feminino,Verde,Castanho,Envenenamento,Escola,Parda,Classe Média,Desconhecido,Desconhecido
92,69,19.51,1.46,88.37,Feminino,Verde,Loiro,Envenenamento,Escola,Negra,Classe Baixa,Desconhecido,Desconhecido
93,1902,20.82,1.55,85.21,Feminino,Verde,Loiro,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
94,1401,17.78,1.51,35.83,Masculino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho,ElBigodon Camacho
95,1878,25.54,1.89,84.08,Feminino,Verde,Loiro,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
96,1804,19.95,1.7,81.02,Feminino,Verde,Loiro,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
97,1248,33.72,1.88,45.24,Masculino,Verde,Preto,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido,Desconhecido
98,1534,11.41,1.51,46.63,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
99,1304,52.5,1.51,37.65,Feminino,Castanho,Preto,Esfaqueamento,Trabalho,Branca,Classe Média,Desconhecido,Desconhecido
100,1230,50.74,1.56,49.87,Masculino,Verde,Preto,Contusão,Casa,Branca,Classe Média,Desconhecido,Desconhecido
101,515,48.28,1.87,51.21,Masculino,Verde,Preto,Envenenamento,Casa,Parda,Classe Alta,Desconhecido,Desconhecido
102,1743,39.91,1.6,58.89,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
103,502,12.79,1.58,39.35,Masculino,Azul,Castanho,Contusão,Escola,Amarela,Classe Baixa,Desconhecido,Desconhecido
104,800,15.03,1.74,76.82,Masculino,Verde,Ruivo,Estrangulamento,Escola,Negra,Classe Baixa,Desconhecido,Desconhecido
105,1363,14.98,1.51,70.99,Masculino,Preto,Preto,Estrangulamento,Rua,Negra,Classe Alta,Desconhecido,Desconhecido
106,217,21.96,1.56,40.68,Feminino,Preto,Castanho,Envenenamento,Casa,Branca,Classe Alta,Desconhecido,Desconhecido
107,626,23.56,1.56,51.44,Masculino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido,Desconhecido
108,1390,13.1,1.6,45.5,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
109,224,41.84,1.81,59.31,Masculino,Castanho,Castanho,Esfaqueamento,Trabalho,Parda,Classe Média,Desconhecido,Desconhecido
110,460,56.08,1.48,66.35,Masculino,Castanho,Preto,Esfaqueamento,Casa,Negra,Classe Alta,Desconhecido,Desconhecido
111,1799,20.87,1.86,75.33,Feminino,Azul,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
112,1882,29.34,1.85,85.09,Feminino,Verde,Ruivo,Contusão,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
113,1502,16.09,1.83,41.26,Masculino,Castanho,Preto,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho,Desconhecido
114,243,18.77,1.57,84.48,Feminino,Azul,Ruivo,Esfaqueamento,Trabalho,Parda,Classe Baixa,Desconhecido,Desconhecido
115,580,20.74,1.69,50.54,Masculino,Verde,Preto,Contusão,Escola,Negra,Classe Baixa,Desconhecido,Desconhecido
116,1285,32.54,1.81,37.85,Feminino,Verde,Ruivo,Envenenamento,Casa,Branca,Classe Baixa,Desconhecido,Desconhecido
117,828,11.43,1.48,80.8,Feminino,Preto,Ruivo,Envenenamento,Escola,Amarela,Classe Alta,Desconhecido,Desconhecido
118,1738,46.63,1.75,55.63,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
119,1679,34.57,1.61,54.96,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
120,1545,24.68,1.77,33.25,Feminino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho,ElBigodon Camacho
121,1022,25.25,1.84,36.27,Feminino,Castanho,Loiro,Contusão,Escola,Negra,Classe Média,Desconhecido,Desconhecido
122,1151,27.32,1.67,33.71,Masculino,Azul,Ruivo,Contusão,Trabalho,Amarela,Classe Média,Desconhecido,Desconhecido
123,216,16.07,1.79,41.27,Feminino,Verde,Loiro,Estrangulamento,Casa,Branca,Classe Alta,Desconhecido,Roberto Chimarildo Tomáz
124,1266,15.04,1.6,63.78,Masculino,Preto,Castanho,Envenenamento,Trabalho,Amarela,Classe Média,Desconhecido,Desconhecido
125,654,25.83,1.67,69.34,Feminino,Castanho,Preto,Envenenamento,Escola,Negra,Classe Baixa,Desconhecido,Desconhecido
126,27,13.97,1.85,63.14,Masculino,Preto,Preto,Estrangulamento,Rua,Negra,Classe Média,Desconhecido,Desconhecido
127,482,44.57,1.46,65.36,Feminino,Castanho,Ruivo,Envenenamento,Rua,Parda,Classe Média,Desconhecido,Desconhecido
128,1466,12.12,1.5,45.04,Masculino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
129,585,19.32,1.51,67.87,Masculino,Verde,Loiro,Envenenamento,Escola,Branca,Classe Alta,Desconhecido,Desconhecido
130,687,30.78,1.51,47.81,Masculino,Azul,Castanho,Envenenamento,Rua,Parda,Classe Média,Desconhecido,Desconhecido
131,1740,43.01,1.68,62.04,Feminino,Castanho,Preto,Envenenamento,Casa,Amarela,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
132,1721,20.55,1.64,60.98,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
133,1263,43.02,1.67,84.94,Masculino,Verde,Loiro,Estrangulamento,Casa,Amarela,Classe Baixa,Desconhecido,Desconhecido
134,553,20.33,1.6,37.81,Masculino,Verde,Castanho,Envenenamento,Trabalho,Amarela,Classe Alta,Desconhecido,Desconhecido
135,877,24.93,1.76,43.81,Masculino,Verde,Loiro,Envenenamento,Rua,Parda,Classe Média,Desconhecido,Desconhecido
136,1796,21.13,1.72,67.83,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
137,1840,32.84,1.89,78.35,Feminino,Verde,Ruivo,Contusão,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
138,308,18.04,1.67,61.21,Masculino,Verde,Preto,Esfaqueamento,Casa,Parda,Classe Alta,Desconhecido,Desconhecido
139,206,22.13,1.84,49.84,Masculino,Preto,Ruivo,Esfaqueamento,Trabalho,Amarela,Classe Alta,Desconhecido,Desconhecido
140,1277,17.63,1.46,56.43,Masculino,Castanho,Ruivo,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido,Desconhecido
141,205,33.87,1.8,78.62,Masculino,Castanho,Ruivo,Envenenamento,Rua,Amarela,Classe Baixa,Desconhecido,Desconhecido
142,352,29.51,1.66,30.43,Masculino,Azul,Preto,Estrangulamento,Casa,Amarela,Classe Alta,Desconhecido,Desconhecido
143,1115,32.65,1.72,49.88,Feminino,Preto,Castanho,Contusão,Trabalho,Negra,Classe Alta,Desconhecido,Desconhecido
144,1742,21.9,1.59,66.49,Feminino,Castanho,Preto,Contusão,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva,Desconhecido
145,1237,30.11,1.84,76.29,Masculino,Castanho,Preto,Estrangulamento,Trabalho,Amarela,Classe Média,Desconhecido,Desconhecido
146,1691,43.04,1.61,64.25,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
147,852,18.14,1.45,75.91,Feminino,Verde,Preto,Envenenamento,Escola,Branca,Classe Alta,Desconhecido,Desconhecido
148,966,11.89,1.79,77.34,Masculino,Castanho,Ruivo,Contusão,Escola,Amarela,Classe Alta,Desconhecido,Desconhecido
149,1410,14.63,1.52,42.67,Masculino,Verde,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
150,706,53.03,1.79,75.85,Feminino,Verde,Preto,Estrangulamento,Trabalho,Branca,Classe Média,Desconhecido,Desconhecido
151,1328,23.49,1.68,77.47,Feminino,Azul,Loiro,Contusão,Escola,Amarela,Classe Média,Desconhecido,Desconhecido
152,660,17.69,1.65,85.31,Masculino,Verde,Preto,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido,Desconhecido
153,1501,24.65,1.61,44.91,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
154,1968,32.27,1.75,76.36,Feminino,Verde,Castanho,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
155,102,32.2,1.44,74.09,Feminino,Castanho,Loiro,Contusão,Casa,Parda,Classe Alta,Desconhecido,Desconhecido
156,1272,28.59,1.89,51.47,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Baixa,Desconhecido,ElBigodon Camacho
157,1053,22.35,1.44,55.36,Feminino,Azul,Loiro,Contusão,Escola,Negra,Classe Média,Desconhecido,Desconhecido
158,1419,14.23,1.58,33.18,Masculino,Azul,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
159,1454,27.25,1.62,46.82,Masculino,Azul,Castanho,Esfaqueamento,Trabalho,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
160,72,38.09,1.6,61.56,Feminino,Azul,Loiro,Esfaqueamento,Escola,Parda,Classe Baixa,Desconhecido,Desconhecido
161,1492,18.82,1.58,44.06,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho,ElBigodon Camacho
162,457,57.81,1.6,31.16,Feminino,Azul,Preto,Envenenamento,Rua,Branca,Classe Média,Desconhecido,Desconhecido
163,1119,22.19,1.55,80.1,Feminino,Azul,Loiro,Contusão,Trabalho,Branca,Classe Alta,Desconhecido,Desconhecido
164,1575,41.22,1.6,85.85,Masculino,Verde,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho,Desconhecido
165,849,49.57,1.5,45.31,Feminino,Azul,Preto,Contusão,Escola,Parda,Classe Média,Desconhecido,Desconhecido
166,1808,23.79,1.74,80.1,Feminino,Verde,Ruivo,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
167,74,23.5,1.7,79.24,Feminino,Castanho,Castanho,Esfaqueamento,Trabalho,Branca,Classe Alta,Desconhecido,Desconhecido
168,427,47.93,1.59,43.03,Masculino,Castanho,Loiro,Estrangulamento,Escola,Branca,Classe Alta,Desconhecido,Desconhecido
169,254,39.27,1.59,75.6,Feminino,Verde,Ruivo,Esfaqueamento,Rua,Amarela,Classe Baixa,Desconhecido,Desconhecido
170,734,32.31,1.87,79.4,Masculino,Azul,Castanho,Esfaqueamento,Casa,Negra,Classe Baixa,Desconhecido,Desconhecido
171,71,46.25,1.9,51.35,Feminino,Castanho,Loiro,Contusão,Escola,Branca,Classe Alta,Desconhecido,Desconhecido
172,186,52.7,1.41,79.75,Feminino,Verde,Castanho,Esfaqueamento,Trabalho,Negra,Classe Alta,Desconhecido,Desconhecido
173,1662,42.43,1.58,59.41,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva,Coringon de le pinheirinho Silva
174,714,32.4,1.77,54.93,Masculino,Preto,Loiro,Contusão,Escola,Negra,Classe Alta,Desconhecido,Desconhecido
175,472,40.94,1.73,63.9,Feminino,Azul,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Desconhecido,Roberto Chimarildo Tomáz
176,1312,45.24,1.57,33.94,Masculino,Preto,Ruivo,Envenenamento,Escola,Branca,Classe Alta,Desconhecido,Desconhecido
177,1388,29.95,1.56,44.29,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho,ElBigodon Camacho
178,1033,17.98,1.72,63.66,Masculino,Azul,Loiro,Envenenamento,Escola,Parda,Classe Média,Desconhecido,Desconhecido
179,1323,33.21,1.85,77.09,Feminino,Azul,Ruivo,Estrangulamento,Trabalho,Parda,Classe Média,Desconhecido,Desconhecido
180,922,50.09,1.52,76.64,Masculino,Castanho,Ruivo,Envenenamento,Escola,Parda,Classe Média,Desconhecido,Desconhecido
181,1330,24.27,1.51,72.0,Feminino,Verde,Preto,Esfaqueamento,Rua,Amarela,Classe Baixa,Desconhecido,Desconhecido
182,1333,22.5,1.73,79.81,Feminino,Verde,Loiro,Envenenamento,Escola,Branca,Classe Alta,Desconhecido,Desconhecido
183,454,27.44,1.44,79.68,Masculino,Azul,Preto,Contusão,Escola,Negra,Classe Alta,Desconhecido,Desconhecido
184,925,35.89,1.8,83.62,Masculino,Preto,Ruivo,Esfaqueamento,Rua,Branca,Classe Baixa,Desconhecido,Desconhecido
185,1213,49.69,1.83,79.88,Masculino,Azul,Ruivo,Estrangulamento,Escola,Branca,Classe Média,Desconhecido,Desconhecido
186,1265,32.98,1.85,52.1,Feminino,Castanho,Castanho,Estrangulamento,Casa,Branca,Classe Média,Desconhecido,Desconhecido
187,519,38.9,1.51,68.19,Masculino,Castanho,Ruivo,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido,Desconhecido
188,1391,19.05,1.57,34.22,Masculino,Preto,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho,ElBigodon Camacho
189,895,44.4,1.58,65.33,Masculino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Baixa,Desconhecido,Desconhecido
190,1891,21.23,1.77,66.7,Feminino,Verde,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz,Roberto Chimarildo Tomáz
