,Unnamed: 0,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
18,1254,23.31,1.89,45.5,Feminino,Azul,Loiro,Envenenamento,Casa,Branca,Classe Média,ElBigodon Camacho
19,1332,17.04,1.62,38.97,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
20,1274,16.81,1.48,45.94,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
21,927,31.71,1.42,43.54,Feminino,Preto,Loiro,Envenenamento,Trabalho,Branca,Classe Baixa,ElBigodon Camacho
22,121,28.2,1.55,45.4,Feminino,Castanho,Loiro,Envenenamento,Escola,Parda,Classe Baixa,Coringon de le pinheirinho Silva
23,595,26.64,1.56,39.23,Feminino,Castanho,Loiro,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
24,1151,18.44,1.65,65.75,Masculino,Castanho,Castanho,Estrangulamento,Trabalho,Parda,Classe Alta,Roberto Chimarildo Tomáz
25,962,38.12,1.8,79.97,Feminino,Preto,Preto,Contusão,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
26,1717,29.1,1.84,83.71,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Baixa,Roberto Chimarildo Tomáz
27,772,55.76,1.48,63.35,Masculino,Azul,Preto,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
28,1086,54.32,1.46,47.9,Feminino,Preto,Ruivo,Esfaqueamento,Casa,Negra,Classe Média,Roberto Chimarildo Tomáz
29,1487,39.91,1.75,58.03,Masculino,Castanho,Preto,Envenenamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
30,678,13.67,1.62,62.54,Feminino,Castanho,Castanho,Contusão,Rua,Amarela,Classe Baixa,ElBigodon Camacho
31,1668,11.04,1.87,85.37,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
32,1111,24.7,1.6,42.86,Masculino,Preto,Ruivo,Envenenamento,Rua,Parda,Classe Alta,ElBigodon Camacho
33,1421,45.39,1.76,64.77,Masculino,Preto,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
34,274,15.09,1.85,59.08,Feminino,Castanho,Loiro,Contusão,Trabalho,Branca,Classe Alta,ElBigodon Camacho
35,1271,12.39,1.53,34.24,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
36,1084,17.0,1.69,78.73,Masculino,Castanho,Preto,Envenenamento,Rua,Branca,Classe Alta,ElBigodon Camacho
37,724,10.4,1.71,63.06,Feminino,Azul,Ruivo,Contusão,Trabalho,Negra,Classe Média,Roberto Chimarildo Tomáz
38,1431,39.36,1.77,56.09,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
39,320,30.76,1.7,46.34,Masculino,Verde,Preto,Envenenamento,Trabalho,Parda,Classe Baixa,Coringon de le pinheirinho Silva
40,1549,44.64,1.6,65.83,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
41,728,49.42,1.86,62.17,Feminino,Verde,Preto,Estrangulamento,Trabalho,Parda,Classe Baixa,Roberto Chimarildo Tomáz
42,302,59.18,1.56,41.5,Masculino,Verde,Castanho,Contusão,Rua,Amarela,Classe Alta,ElBigodon Camacho
43,330,36.05,1.57,37.77,Masculino,Verde,Castanho,Contusão,Rua,Branca,Classe Alta,ElBigodon Camacho
44,1267,14.09,1.5,44.05,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
45,990,55.95,1.47,40.37,Masculino,Verde,Loiro,Estrangulamento,Escola,Negra,Classe Alta,Roberto Chimarildo Tomáz
46,618,50.18,1.66,72.04,Feminino,Castanho,Preto,Estrangulamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
47,1484,41.61,1.52,65.61,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
48,574,53.72,1.59,67.01,Masculino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva
49,1413,37.93,1.86,50.73,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
50,827,50.71,1.83,50.29,Feminino,Preto,Preto,Contusão,Rua,Amarela,Classe Alta,Roberto Chimarildo Tomáz
51,523,19.41,1.77,58.3,Masculino,Verde,Loiro,Esfaqueamento,Trabalho,Amarela,Classe Baixa,ElBigodon Camacho
52,1050,50.72,1.4,88.95,Masculino,Castanho,Preto,Envenenamento,Escola,Amarela,Classe Média,Coringon de le pinheirinho Silva
53,135,34.73,1.84,57.36,Feminino,Castanho,Loiro,Contusão,Casa,Branca,Classe Baixa,Coringon de le pinheirinho Silva
54,640,27.56,1.89,54.32,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Negra,Classe Média,Roberto Chimarildo Tomáz
55,213,45.73,1.59,53.59,Feminino,Azul,Castanho,Esfaqueamento,Escola,Amarela,Classe Média,ElBigodon Camacho
56,152,38.62,1.57,72.37,Masculino,Verde,Loiro,Esfaqueamento,Casa,Parda,Classe Média,ElBigodon Camacho
57,170,48.93,1.7,60.46,Feminino,Verde,Ruivo,Estrangulamento,Trabalho,Negra,Classe Alta,Roberto Chimarildo Tomáz
58,1473,39.48,1.47,57.04,Feminino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
59,1587,35.08,1.56,66.72,Masculino,Castanho,Preto,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
60,467,43.05,1.71,55.92,Masculino,Castanho,Ruivo,Esfaqueamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
61,947,57.05,1.61,79.14,Masculino,Preto,Ruivo,Esfaqueamento,Escola,Branca,Classe Alta,ElBigodon Camacho
62,1116,35.27,1.63,43.07,Masculino,Preto,Loiro,Estrangulamento,Escola,Amarela,Classe Alta,ElBigodon Camacho
63,810,16.64,1.65,61.92,Masculino,Azul,Preto,Estrangulamento,Rua,Branca,Classe Média,ElBigodon Camacho
64,1387,37.58,1.64,63.27,Masculino,Castanho,Castanho,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
65,812,16.57,1.64,70.04,Feminino,Preto,Ruivo,Estrangulamento,Rua,Negra,Classe Média,Roberto Chimarildo Tomáz
66,412,20.34,1.87,89.22,Feminino,Castanho,Ruivo,Estrangulamento,Rua,Amarela,Classe Baixa,Roberto Chimarildo Tomáz
67,102,26.16,1.45,59.28,Masculino,Castanho,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
68,95,14.09,1.72,89.4,Masculino,Castanho,Castanho,Esfaqueamento,Casa,Branca,Classe Baixa,ElBigodon Camacho
69,654,16.01,1.75,63.55,Masculino,Verde,Preto,Contusão,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
70,210,58.84,1.56,71.64,Feminino,Azul,Castanho,Esfaqueamento,Escola,Parda,Classe Alta,Roberto Chimarildo Tomáz
71,124,17.89,1.64,71.15,Feminino,Preto,Castanho,Esfaqueamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
72,1175,57.31,1.7,78.82,Masculino,Castanho,Castanho,Esfaqueamento,Trabalho,Negra,Classe Baixa,ElBigodon Camacho
73,1696,28.35,1.74,61.02,Feminino,Verde,Castanho,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
74,1221,15.13,1.45,45.93,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
75,174,47.02,1.44,66.9,Masculino,Verde,Castanho,Contusão,Escola,Parda,Classe Baixa,Coringon de le pinheirinho Silva
76,1365,12.08,1.46,34.45,Masculino,Azul,Loiro,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho
77,117,59.96,1.7,64.74,Masculino,Azul,Ruivo,Envenenamento,Escola,Amarela,Classe Alta,Roberto Chimarildo Tomáz
78,1010,37.55,1.69,62.81,Feminino,Preto,Castanho,Envenenamento,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva
79,1109,20.66,1.89,62.11,Feminino,Castanho,Castanho,Estrangulamento,Trabalho,Branca,Classe Baixa,Roberto Chimarildo Tomáz
80,1394,33.14,1.74,63.95,Masculino,Castanho,Preto,Envenenamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
81,1593,44.61,1.66,61.08,Masculino,Castanho,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
82,883,51.76,1.76,67.81,Masculino,Azul,Castanho,Envenenamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
83,865,36.83,1.82,74.63,Masculino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva
84,458,37.12,1.87,76.5,Feminino,Verde,Preto,Esfaqueamento,Escola,Negra,Classe Média,Roberto Chimarildo Tomáz
85,692,45.66,1.79,30.79,Feminino,Azul,Loiro,Esfaqueamento,Rua,Negra,Classe Alta,ElBigodon Camacho
86,1382,46.09,1.47,55.55,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
87,1373,12.2,1.5,37.68,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
88,92,53.31,1.49,87.57,Feminino,Preto,Ruivo,Contusão,Escola,Parda,Classe Baixa,Roberto Chimarildo Tomáz
89,47,36.33,1.77,84.19,Masculino,Verde,Ruivo,Contusão,Rua,Amarela,Classe Alta,Roberto Chimarildo Tomáz
90,440,52.05,1.71,60.05,Masculino,Verde,Preto,Contusão,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
91,385,38.4,1.58,37.1,Feminino,Castanho,Loiro,Contusão,Rua,Amarela,Classe Média,ElBigodon Camacho
92,367,45.77,1.81,50.02,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Branca,Classe Média,Roberto Chimarildo Tomáz
93,1747,30.96,1.73,85.24,Feminino,Verde,Ruivo,Envenenamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
94,254,32.26,1.68,32.6,Masculino,Verde,Loiro,Estrangulamento,Casa,Negra,Classe Baixa,Roberto Chimarildo Tomáz
95,1543,45.71,1.72,53.74,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
96,509,21.04,1.71,52.38,Masculino,Azul,Loiro,Esfaqueamento,Escola,Amarela,Classe Média,ElBigodon Camacho
97,1210,20.8,1.63,46.78,Masculino,Verde,Ruivo,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
98,89,55.98,1.72,58.31,Feminino,Preto,Ruivo,Contusão,Trabalho,Branca,Classe Média,Roberto Chimarildo Tomáz
99,1432,46.64,1.59,79.48,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
100,938,45.73,1.71,47.03,Masculino,Azul,Preto,Esfaqueamento,Rua,Parda,Classe Baixa,ElBigodon Camacho
101,937,44.13,1.67,87.66,Masculino,Preto,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Média,ElBigodon Camacho
102,362,39.49,1.76,79.63,Feminino,Verde,Castanho,Estrangulamento,Escola,Branca,Classe Alta,Roberto Chimarildo Tomáz
103,1104,20.66,1.43,70.72,Masculino,Verde,Loiro,Esfaqueamento,Rua,Parda,Classe Média,ElBigodon Camacho
104,781,20.22,1.88,86.91,Masculino,Castanho,Preto,Contusão,Trabalho,Branca,Classe Média,ElBigodon Camacho
105,1775,23.79,1.86,73.99,Masculino,Verde,Loiro,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
106,1309,12.09,1.56,39.92,Masculino,Azul,Loiro,Esfaqueamento,Escola,Branca,Classe Média,ElBigodon Camacho
107,421,25.18,1.74,87.54,Masculino,Castanho,Loiro,Esfaqueamento,Trabalho,Branca,Classe Alta,ElBigodon Camacho
108,191,19.51,1.41,78.0,Feminino,Preto,Preto,Estrangulamento,Escola,Branca,Classe Baixa,Roberto Chimarildo Tomáz
109,437,14.0,1.43,57.13,Masculino,Preto,Preto,Envenenamento,Escola,Amarela,Classe Alta,Coringon de le pinheirinho Silva
110,939,20.96,1.71,68.03,Feminino,Verde,Castanho,Envenenamento,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva
111,1277,16.21,1.45,59.96,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
112,1147,40.97,1.47,46.88,Feminino,Preto,Loiro,Esfaqueamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
113,912,18.82,1.47,66.73,Feminino,Azul,Preto,Esfaqueamento,Escola,Negra,Classe Alta,ElBigodon Camacho
114,194,34.21,1.81,89.33,Feminino,Azul,Castanho,Contusão,Trabalho,Amarela,Classe Média,ElBigodon Camacho
115,1245,22.32,1.52,34.0,Masculino,Azul,Ruivo,Esfaqueamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
116,40,26.05,1.44,55.6,Feminino,Castanho,Castanho,Envenenamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
117,160,45.07,1.74,59.44,Masculino,Azul,Preto,Esfaqueamento,Escola,Negra,Classe Baixa,ElBigodon Camacho
118,1372,21.84,1.47,33.16,Masculino,Azul,Preto,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
119,1269,11.24,1.46,41.08,Masculino,Castanho,Loiro,Envenenamento,Rua,Branca,Classe Média,ElBigodon Camacho
120,1427,39.76,1.87,60.9,Masculino,Verde,Preto,Envenenamento,Casa,Parda,Classe Baixa,Coringon de le pinheirinho Silva
121,1019,26.09,1.68,60.19,Masculino,Preto,Loiro,Esfaqueamento,Casa,Parda,Classe Alta,ElBigodon Camacho
122,1126,34.98,1.47,63.03,Masculino,Preto,Castanho,Envenenamento,Escola,Amarela,Classe Baixa,Coringon de le pinheirinho Silva
123,1653,28.01,1.8,80.27,Feminino,Verde,Ruivo,Estrangulamento,Casa,Branca,Classe Alta,Roberto Chimarildo Tomáz
124,86,44.88,1.68,50.11,Feminino,Preto,Castanho,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
125,269,20.03,1.81,73.45,Masculino,Verde,Castanho,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho
126,553,51.56,1.66,66.22,Feminino,Verde,Loiro,Contusão,Rua,Branca,Classe Alta,Roberto Chimarildo Tomáz
127,1260,18.93,1.43,44.87,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Baixa,ElBigodon Camacho
128,1281,12.03,1.57,44.49,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
129,8,14.84,1.52,80.58,Masculino,Verde,Castanho,Envenenamento,Escola,Negra,Classe Média,ElBigodon Camacho
130,318,55.82,1.49,84.05,Feminino,Castanho,Ruivo,Esfaqueamento,Escola,Negra,Classe Alta,Roberto Chimarildo Tomáz
131,701,56.86,1.75,71.83,Masculino,Azul,Castanho,Estrangulamento,Trabalho,Amarela,Classe Média,ElBigodon Camacho
132,660,25.54,1.8,63.37,Feminino,Preto,Loiro,Envenenamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
133,1141,33.69,1.57,89.63,Feminino,Verde,Ruivo,Contusão,Rua,Amarela,Classe Baixa,Roberto Chimarildo Tomáz
134,188,32.65,1.81,49.46,Feminino,Verde,Ruivo,Esfaqueamento,Trabalho,Branca,Classe Alta,Roberto Chimarildo Tomáz
135,38,17.18,1.5,77.88,Masculino,Preto,Preto,Estrangulamento,Casa,Negra,Classe Média,Coringon de le pinheirinho Silva
136,627,36.77,1.67,77.2,Masculino,Verde,Preto,Estrangulamento,Escola,Amarela,Classe Alta,Roberto Chimarildo Tomáz
137,217,31.76,1.49,72.85,Feminino,Verde,Castanho,Envenenamento,Casa,Negra,Classe Baixa,Roberto Chimarildo Tomáz
138,1728,21.89,1.71,81.42,Feminino,Castanho,Ruivo,Estrangulamento,Casa,Parda,Classe Alta,Roberto Chimarildo Tomáz
139,604,40.6,1.48,60.53,Feminino,Azul,Preto,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
140,531,49.65,1.83,32.9,Masculino,Preto,Loiro,Estrangulamento,Escola,Branca,Classe Alta,ElBigodon Camacho
141,592,43.9,1.59,51.75,Masculino,Verde,Ruivo,Estrangulamento,Escola,Parda,Classe Média,Roberto Chimarildo Tomáz
142,1243,20.29,1.89,84.53,Feminino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
143,1078,43.67,1.65,51.86,Feminino,Azul,Preto,Estrangulamento,Trabalho,Amarela,Classe Baixa,Roberto Chimarildo Tomáz
144,1347,34.34,1.54,39.76,Masculino,Azul,Loiro,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho
145,1476,45.82,1.61,63.92,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Alta,Coringon de le pinheirinho Silva
146,517,23.68,1.82,74.37,Masculino,Castanho,Castanho,Estrangulamento,Escola,Negra,Classe Baixa,Roberto Chimarildo Tomáz
147,585,55.0,1.89,39.79,Masculino,Castanho,Preto,Envenenamento,Trabalho,Amarela,Classe Alta,Coringon de le pinheirinho Silva
148,1697,31.44,1.7,51.66,Feminino,Preto,Ruivo,Estrangulamento,Casa,Parda,Classe Média,Roberto Chimarildo Tomáz
149,514,58.16,1.65,38.51,Feminino,Preto,Loiro,Esfaqueamento,Rua,Negra,Classe Média,ElBigodon Camacho
150,984,17.77,1.54,62.72,Masculino,Verde,Ruivo,Envenenamento,Escola,Negra,Classe Baixa,Roberto Chimarildo Tomáz
151,1189,23.21,1.75,56.76,Masculino,Azul,Loiro,Esfaqueamento,Casa,Branca,Classe Média,ElBigodon Camacho
152,950,38.53,1.58,77.38,Feminino,Preto,Loiro,Esfaqueamento,Escola,Branca,Classe Média,ElBigodon Camacho
153,1192,10.65,1.57,37.06,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
154,1461,40.01,1.67,63.84,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
155,681,37.98,1.6,47.42,Masculino,Verde,Castanho,Estrangulamento,Escola,Amarela,Classe Baixa,Roberto Chimarildo Tomáz
156,885,48.15,1.57,68.53,Masculino,Azul,Preto,Estrangulamento,Trabalho,Amarela,Classe Alta,Roberto Chimarildo Tomáz
157,88,56.33,1.8,48.1,Feminino,Castanho,Preto,Envenenamento,Rua,Amarela,Classe Média,Coringon de le pinheirinho Silva
158,438,37.69,1.85,41.76,Feminino,Verde,Castanho,Esfaqueamento,Escola,Amarela,Classe Média,ElBigodon Camacho
159,804,23.48,1.43,58.35,Masculino,Verde,Preto,Envenenamento,Trabalho,Branca,Classe Baixa,Coringon de le pinheirinho Silva
160,180,20.44,1.72,55.33,Feminino,Verde,Loiro,Envenenamento,Rua,Amarela,Classe Média,ElBigodon Camacho
161,1283,22.36,1.57,73.36,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
162,1065,33.58,1.87,78.54,Masculino,Preto,Ruivo,Estrangulamento,Trabalho,Negra,Classe Alta,Roberto Chimarildo Tomáz
163,1397,33.04,1.68,30.97,Feminino,Azul,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
164,470,58.91,1.71,65.08,Masculino,Preto,Castanho,Esfaqueamento,Escola,Parda,Classe Alta,ElBigodon Camacho
165,1396,12.79,1.63,55.88,Feminino,Verde,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
166,556,17.59,1.8,52.6,Masculino,Preto,Castanho,Contusão,Trabalho,Parda,Classe Baixa,ElBigodon Camacho
167,1247,11.19,1.83,36.53,Masculino,Azul,Loiro,Esfaqueamento,Trabalho,Parda,Classe Média,ElBigodon Camacho
168,875,52.93,1.63,42.64,Masculino,Verde,Preto,Estrangulamento,Rua,Amarela,Classe Média,ElBigodon Camacho
169,1465,41.12,1.63,58.82,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
170,73,28.82,1.56,46.98,Masculino,Preto,Ruivo,Envenenamento,Rua,Parda,Classe Média,ElBigodon Camacho
171,443,20.46,1.88,45.65,Feminino,Castanho,Castanho,Esfaqueamento,Escola,Amarela,Classe Baixa,ElBigodon Camacho
172,263,57.58,1.63,54.63,Masculino,Castanho,Loiro,Contusão,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
173,647,32.52,1.86,41.84,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
174,368,19.25,1.7,75.76,Masculino,Preto,Castanho,Estrangulamento,Trabalho,Branca,Classe Baixa,ElBigodon Camacho
175,334,16.69,1.86,63.75,Masculino,Azul,Loiro,Estrangulamento,Trabalho,Amarela,Classe Baixa,ElBigodon Camacho
176,1808,23.44,1.75,79.45,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
177,1423,33.8,1.71,72.53,Masculino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
178,292,41.08,1.44,83.22,Feminino,Preto,Preto,Estrangulamento,Trabalho,Negra,Classe Média,Coringon de le pinheirinho Silva
179,1363,19.99,1.48,41.92,Masculino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
180,767,33.68,1.56,50.79,Feminino,Preto,Castanho,Estrangulamento,Trabalho,Parda,Classe Média,Coringon de le pinheirinho Silva
181,831,28.47,1.54,58.2,Masculino,Azul,Castanho,Contusão,Rua,Negra,Classe Alta,ElBigodon Camacho
182,1039,19.54,1.51,68.16,Feminino,Azul,Loiro,Contusão,Rua,Branca,Classe Média,ElBigodon Camacho
183,977,29.85,1.84,30.27,Feminino,Preto,Loiro,Envenenamento,Rua,Branca,Classe Baixa,ElBigodon Camacho
184,1150,31.24,1.71,72.39,Feminino,Preto,Ruivo,Estrangulamento,Casa,Parda,Classe Baixa,Roberto Chimarildo Tomáz
185,153,20.91,1.45,76.94,Feminino,Azul,Loiro,Envenenamento,Trabalho,Negra,Classe Baixa,ElBigodon Camacho
186,1575,36.44,1.61,32.22,Feminino,Castanho,Preto,Envenenamento,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva
187,1584,14.78,1.9,61.23,Feminino,Castanho,Preto,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
188,820,39.4,1.85,88.55,Feminino,Preto,Loiro,Contusão,Escola,Branca,Classe Baixa,ElBigodon Camacho
189,995,13.01,1.52,70.92,Masculino,Castanho,Ruivo,Contusão,Escola,Branca,Classe Média,ElBigodon Camacho
190,1785,21.7,1.58,79.56,Feminino,Verde,Loiro,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
191,363,33.08,1.75,61.36,Feminino,Castanho,Preto,Estrangulamento,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
192,613,32.49,1.63,55.89,Feminino,Azul,Ruivo,Estrangulamento,Trabalho,Amarela,Classe Alta,Roberto Chimarildo Tomáz
193,1275,21.9,1.6,36.13,Masculino,Azul,Loiro,Esfaqueamento,Rua,Branca,Classe Média,ElBigodon Camacho
194,28,48.06,1.58,37.74,Masculino,Azul,Loiro,Esfaqueamento,Escola,Negra,Classe Alta,ElBigodon Camacho
195,163,32.99,1.64,89.29,Masculino,Castanho,Ruivo,Contusão,Rua,Parda,Classe Baixa,Coringon de le pinheirinho Silva
196,889,51.51,1.79,45.55,Feminino,Castanho,Loiro,Esfaqueamento,Rua,Branca,Classe Alta,ElBigodon Camacho
197,257,53.61,1.78,87.07,Masculino,Verde,Loiro,Estrangulamento,Trabalho,Negra,Classe Alta,Roberto Chimarildo Tomáz
198,749,41.85,1.52,37.98,Masculino,Preto,Castanho,Contusão,Trabalho,Parda,Classe Alta,Coringon de le pinheirinho Silva
199,967,16.75,1.52,81.79,Masculino,Azul,Preto,Envenenamento,Escola,Parda,Classe Média,Coringon de le pinheirinho Silva
200,1528,46.91,1.59,65.53,Feminino,Azul,Castanho,Envenenamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
201,44,43.66,1.67,64.03,Masculino,Castanho,Castanho,Estrangulamento,Casa,Parda,Classe Média,Coringon de le pinheirinho Silva
202,829,18.99,1.77,33.71,Masculino,Castanho,Loiro,Estrangulamento,Escola,Branca,Classe Média,ElBigodon Camacho
203,554,26.47,1.49,34.04,Feminino,Castanho,Preto,Esfaqueamento,Casa,Branca,Classe Média,Coringon de le pinheirinho Silva
204,675,28.78,1.51,84.65,Masculino,Castanho,Castanho,Envenenamento,Escola,Negra,Classe Baixa,Coringon de le pinheirinho Silva
