,Idade,Altura,Peso,Sexo,Cor dos Olhos,Cor do Cabelo,Causa Morte,Local Morte,Raça,Classe Social,Serial Killer
479,38.39,1.51,76.97,Masculino,Azul,Loiro,Envenenamento,Escola,Branca,Classe Baixa,Desconhecido
1794,27.77,1.81,63.49,Masculino,Azul,Ruivo,Contusão,Casa,Amarela,Classe Alta,Roberto Chimarildo Tomáz
698,44.27,1.78,43.75,Masculino,Azul,Castanho,Contusão,Rua,Branca,Classe Baixa,Desconhecido
424,15.66,1.53,75.86,Feminino,Castanho,Loiro,Envenenamento,Trabalho,Branca,Classe Baixa,Desconhecido
925,10.25,1.57,44.37,Feminino,Verde,Preto,Contusão,Casa,Negra,Classe Alta,Desconhecido
1438,39.41,1.73,55.87,Masculino,Verde,Ruivo,Estrangulamento,Rua,Parda,Classe Média,Coringon de le pinheirinho Silva
456,35.86,1.88,42.02,Feminino,Azul,Preto,Esfaqueamento,Trabalho,Amarela,Classe Média,Desconhecido
639,16.86,1.67,61.3,Feminino,Azul,Loiro,Contusão,Escola,Negra,Classe Média,Desconhecido
64,55.94,1.5,67.52,Feminino,Verde,Castanho,Estrangulamento,Rua,Branca,Classe Baixa,Desconhecido
37,18.58,1.46,80.08,Feminino,Preto,Loiro,Contusão,Casa,Amarela,Classe Média,Desconhecido
1253,30.41,1.5,68.47,Feminino,Azul,Castanho,Envenenamento,Trabalho,Negra,Classe Alta,Desconhecido
1714,28.6,1.69,78.49,Feminino,Verde,Ruivo,Estrangulamento,Casa,Negra,Classe Alta,Roberto Chimarildo Tomáz
846,37.91,1.59,87.6,Masculino,Azul,Castanho,Estrangulamento,Escola,Parda,Classe Alta,Desconhecido
